,Column1,Type,Status,City,State,PostalCode,GenderCode,BirthDate,MaritalStatus,Enrolled on ,Living status,Age,Age Group,Month_Year,Weak Num
40,01C714BE-8076-11e8-96C2-00505682069A,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,6/7/1991,M,7/6/2018,couple with children,29.0,25-30 Years,18-Jul,Weak: 27
41,01D372C7-A3A7-11e8-BB44-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,8/30/1986,M,8/19/2018,Couple without children,34.0,30-35 Years,18-Aug,Weak: 34
42,01D859B0-6598-11e8-86A0-0050569D3164,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,9/8/1978,M,6/2/2018,Couple without children,42.0,40- 45Years,18-Jun,Weak: 22
43,01D859D9-6598-11e8-86A0-0050569D3164,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,1/1/1900,M,6/2/2018,Couple without children,121.0,60+ Years,18-Jun,Weak: 22
44,01F3DBC7-1556-11e9-A994-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,11/27/1989,M,1/11/2019,couple with children,31.0,30-35 Years,19-Jan,Weak: 2
45,01F68EB8-9BED-11e8-816A-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,3/19/1985,M,8/9/2018,Couple without children,36.0,35-40 Years,18-Aug,Weak: 32
46,01F68EF5-9BED-11e8-816A-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,8/21/1984,M,8/9/2018,Couple without children,36.0,35-40 Years,18-Aug,Weak: 32
47,0225FE42-2B6B-11ea-AF32-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,6/16/1989,M,12/31/2019,couple with children,31.0,30-35 Years,19-Dec,Weak: 53
48,024253A7-A83E-11e8-AA14-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,8/15/1987,M,8/25/2018,Couple without children,38.70276220976781,30-35 Years,18-Aug,Weak: 34
49,02545EBF-D077-11e9-B168-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,1/1/1900,M,9/6/2019,Single/living alone,121.0,60+ Years,19-Sep,Weak: 36
50,0263AC71-3D82-11e9-9046-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,12/18/1988,M,3/3/2019,couple with children,32.0,30-35 Years,19-Mar,Weak: 10
51,0278F78F-E591-11e8-8624-005056981C55,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,7/24/1972,M,11/11/2018,Couple without children,48.0,45-50 Years,18-Nov,Weak: 46
52,028C9E58-B8D3-11e8-A568-0050569D3164,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,5/1/1975,M,9/15/2018,Couple without children,45.0,45-50 Years,18-Sep,Weak: 37
53,028C9E97-B8D3-11e8-A568-0050569D3164,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,11/5/1973,M,9/15/2018,Couple without children,47.0,45-50 Years,18-Sep,Weak: 37
54,028C9EE5-B8D3-11e8-A568-0050569D3164,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,3/3/1988,M,9/15/2018,Couple without children,33.0,30-35 Years,18-Sep,Weak: 37
55,029D1309-ED91-11e9-BD9C-005056991469,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,10/26/1993,M,10/13/2019,couple with children,27.0,25-30 Years,19-Oct,Weak: 42
56,02A1E96C-C765-11e9-B680-005056991469,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,9/6/1990,M,8/26/2019,couple with children,30.0,30-35 Years,19-Aug,Weak: 35
57,02AFF17B-A85D-11e8-99C2-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,5/7/1988,M,8/25/2018,couple with children,32.0,30-35 Years,18-Aug,Weak: 34
58,02B6B6C4-54C1-11e9-A8DC-005056981C55,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,1/21/1991,M,4/2/2019,Couple without children,30.0,30-35 Years,19-Apr,Weak: 14
59,02BD2AF3-BACE-11e8-B2C8-00505682069A,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,8/6/1965,M,9/18/2018,Couple without children,55.0,55-60 Years,18-Sep,Weak: 38
60,02CEC1B4-3CE2-11e9-8BC4-005056991469,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,1/20/1989,M,3/2/2019,Single/living alone,32.0,30-35 Years,19-Mar,Weak: 9
61,02CF1C9C-CFEF-11e8-9276-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,5/12/1988,M,10/15/2018,Single/living alone,32.0,30-35 Years,18-Oct,Weak: 42
62,02CFF01B-98EE-11e8-B22E-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,1/14/1994,M,8/6/2018,couple with children,27.0,25-30 Years,18-Aug,Weak: 32
63,02DF3A20-55EB-11e9-8752-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,9/29/1990,M,4/3/2019,couple with children,30.0,30-35 Years,19-Apr,Weak: 14
64,02E0B703-9663-11e8-816A-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,6/15/1963,M,8/2/2018,couple with children,57.0,55-60 Years,18-Aug,Weak: 31
65,02E0B73A-9663-11e8-816A-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,5/3/1984,M,8/2/2018,couple with children,36.0,35-40 Years,18-Aug,Weak: 31
66,02E0BAB7-9663-11e8-816A-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,1/11/1990,M,8/3/2018,Couple without children,31.0,30-35 Years,18-Aug,Weak: 31
67,02E0BAD4-9663-11e8-816A-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,7/13/1994,M,8/3/2018,Couple without children,26.0,25-30 Years,18-Aug,Weak: 31
68,02E63D83-086A-11ea-BBF6-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,7/14/1998,M,11/16/2019,Couple without children,22.0,20-25 Years,19-Nov,Weak: 46
69,02EE28FD-121B-11e9-B96C-005056981C55,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,8/14/1987,M,1/7/2019,Couple without children,33.0,30-35 Years,19-Jan,Weak: 2
70,03085622-C521-11e8-B802-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,8/10/1951,M,10/1/2018,couple with children,69.0,60+ Years,18-Oct,Weak: 40
71,031FD6AE-F526-11e7-8FAA-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,5/27/1975,M,1/9/2018,Couple without children,45.0,45-50 Years,18-Jan,Weak: 2
72,033A2A49-7E4F-11e9-9892-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,6/12/2001,M,5/24/2019,Single/living alone,19.0,0-20 Years,19-May,Weak: 21
73,033A2A92-7E4F-11e9-9892-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,8/15/1991,M,5/25/2019,Single/living alone,29.0,25-30 Years,19-May,Weak: 21
74,034DAB90-9E0F-11e8-99C2-0050569D3164,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,5/28/1994,M,8/12/2018,couple with children,26.0,25-30 Years,18-Aug,Weak: 33
75,034DACDD-9E0F-11e8-99C2-0050569D3164,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,12/5/1964,M,8/12/2018,couple with children,56.0,55-60 Years,18-Aug,Weak: 33
76,034DADA5-9E0F-11e8-99C2-0050569D3164,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,7/13/1990,M,8/12/2018,couple with children,30.0,30-35 Years,18-Aug,Weak: 33
77,0368BB94-6FB1-11e8-B932-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,4/20/1992,M,6/14/2018,Single/living alone,28.0,25-30 Years,18-Jun,Weak: 24
78,0375042A-6F09-11e9-98DE-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,12/29/1989,M,5/5/2019,Couple without children,31.0,30-35 Years,19-May,Weak: 19
79,037B1753-1B72-11e9-AE18-005056991469,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,2/26/1993,M,1/19/2019,Couple without children,28.0,25-30 Years,19-Jan,Weak: 3
80,03828416-AD16-11e8-A926-0050569D3164,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,7/15/1981,M,8/31/2018,Couple without children,39.0,35-40 Years,18-Aug,Weak: 35
81,038379E9-DA0C-11e8-BE96-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,4/15/1984,M,10/28/2018,Couple without children,36.0,35-40 Years,18-Oct,Weak: 44
82,03856153-900C-11e8-9AEC-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,11/17/1987,M,7/25/2018,Couple without children,33.0,30-35 Years,18-Jul,Weak: 30
83,0385B3AB-B9F1-11e8-9A48-00505682069A,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,5/10/1992,M,9/17/2018,Couple without children,28.0,25-30 Years,18-Sep,Weak: 38
84,038B7584-6F78-11e8-BF92-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,6/29/1982,M,6/14/2018,Single/living alone,38.0,35-40 Years,18-Jun,Weak: 24
85,038B76C2-6F78-11e8-BF92-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,11/24/1987,M,6/14/2018,couple with children,33.0,30-35 Years,18-Jun,Weak: 24
86,038EF914-BC1F-11e9-8CE8-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,9/2/1985,M,8/11/2019,couple with children,35.0,35-40 Years,19-Aug,Weak: 33
87,03938D07-BF9A-11e8-A61C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,10/12/1970,M,9/24/2018,couple with children,50.0,50-55 Years,18-Sep,Weak: 39
88,039685F4-0C3F-11e9-81B4-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,1/22/1977,M,12/30/2018,Couple without children,44.0,40- 45Years,18-Dec,Weak: 53
89,03A63C25-4C2F-11e8-B0CE-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,8/27/1980,M,4/30/2018,Single/living alone,40.0,40- 45Years,18-Apr,Weak: 18
90,03A7190B-2FF3-11e8-AF14-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,11/23/1979,M,3/25/2018,Single/living alone,41.0,40- 45Years,18-Mar,Weak: 13
91,03B55CC9-6668-11e9-9B68-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,11/23/1996,M,4/24/2019,couple with children,24.0,20-25 Years,19-Apr,Weak: 17
92,03CE847C-AD64-11e8-B91E-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,7/21/1987,M,9/1/2018,Couple without children,33.0,30-35 Years,18-Sep,Weak: 35
93,03DB4354-9B11-11e8-B594-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,6/23/1976,M,8/8/2018,couple with children,44.0,40- 45Years,18-Aug,Weak: 32
94,03E710F2-10F0-11e9-896C-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,8/4/1987,M,1/5/2019,couple with children,33.0,30-35 Years,19-Jan,Weak: 1
95,03E8C237-8DE6-11e8-B9A4-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,7/4/1989,M,7/23/2018,couple with children,31.0,30-35 Years,18-Jul,Weak: 30
96,03EE1E22-C3BE-11e9-8CD8-005056991469,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,8/24/1995,M,8/21/2019,couple with children,25.0,25-30 Years,19-Aug,Weak: 34
97,03F13087-9894-11e8-B9A2-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,7/8/1987,M,8/5/2018,Couple without children,33.0,30-35 Years,18-Aug,Weak: 32
98,03F133B2-9894-11e8-B9A2-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,9/13/1987,M,8/5/2018,Single/living alone,33.0,30-35 Years,18-Aug,Weak: 32
99,03FF8C5A-97EE-11e8-9C5E-00505682069A,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,6/19/1972,M,8/4/2018,couple with children,48.0,45-50 Years,18-Aug,Weak: 31
100,042080D8-DC85-11e8-9E20-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,3/24/1986,M,10/30/2018,Couple without children,35.0,35-40 Years,18-Oct,Weak: 44
101,0424D20C-B9D3-11e8-95E2-0050569D3164,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,7/1/1995,M,9/16/2018,Couple without children,25.0,25-30 Years,18-Sep,Weak: 38
102,042541DB-F174-11e8-9994-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,8/18/1976,M,11/26/2018,Single/living alone,44.0,40- 45Years,18-Nov,Weak: 48
103,043431E5-9F96-11e8-A89C-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,9/8/1991,M,8/14/2018,couple with children,29.0,25-30 Years,18-Aug,Weak: 33
104,043434D2-9F96-11e8-A89C-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,12/14/1987,M,8/14/2018,couple with children,33.0,30-35 Years,18-Aug,Weak: 33
105,04390FBA-A6F0-11e9-B2C0-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,11/20/1988,M,7/15/2019,couple with children,32.0,30-35 Years,19-Jul,Weak: 29
106,04481438-FC68-11e8-A25A-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,7/18/1989,M,12/10/2018,Couple without children,31.0,30-35 Years,18-Dec,Weak: 50
107,044F0E49-0877-11e9-BDD0-005056981C55,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,9/27/1994,M,12/26/2018,Single/living alone,26.0,25-30 Years,18-Dec,Weak: 52
108,04529910-F614-11e8-91D6-005056981C55,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,3/5/1993,M,12/2/2018,Single/living alone,28.0,25-30 Years,18-Dec,Weak: 49
109,045C8165-9E30-11e8-9E8A-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,7/29/1985,M,8/12/2018,couple with children,35.0,35-40 Years,18-Aug,Weak: 33
110,0461E2D5-5E92-11e9-97DC-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,6/8/1991,M,4/14/2019,couple with children,29.0,25-30 Years,19-Apr,Weak: 16
111,0469D3BE-9E40-11e8-9C86-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,9/30/1977,M,8/12/2018,Couple without children,43.0,40- 45Years,18-Aug,Weak: 33
112,018226E7-D6E5-11e7-9ED6-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500084.0,MALE,11/2/1988,U,12/3/2017,Single/living alone,32.0,30-35 Years,17-Dec,Weak: 49
113,0001F66D-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,4/30/1989,M,8/15/2018,couple with children,31.0,30-35 Years,18-Aug,Weak: 33
114,0001F851-9FE7-11e8-9E9C-00505682069A,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,1/3/1986,M,8/15/2018,couple with children,35.0,35-40 Years,18-Aug,Weak: 33
115,0002A808-E8B8-11e8-A630-005056991469,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,5/5/1999,M,11/15/2018,couple with children,21.0,20-25 Years,18-Nov,Weak: 46
116,0002A836-E8B8-11e8-A630-005056991469,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,3/6/1991,M,11/15/2018,couple with children,30.0,30-35 Years,18-Nov,Weak: 46
117,000F5367-2A82-11e9-B30A-005056981C55,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,3/31/1989,M,2/8/2019,Couple without children,32.0,30-35 Years,19-Feb,Weak: 6
118,002B35A1-AAE3-11e8-A04E-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,8/31/1986,M,8/28/2018,Single/living alone,34.0,30-35 Years,18-Aug,Weak: 35
119,00327815-9E2B-11e8-9F70-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,7/26/1999,M,8/12/2018,couple with children,21.0,20-25 Years,18-Aug,Weak: 33
120,0039BB2E-F120-11e8-94AE-005056991469,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,11/1/1993,M,11/26/2018,couple with children,27.0,25-30 Years,18-Nov,Weak: 48
121,00414A37-3495-11e8-A500-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,8/4/1973,M,3/31/2018,couple with children,47.0,45-50 Years,18-Mar,Weak: 13
122,00444D41-A9F4-11e8-9E9E-0050569D5A2F,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,7/7/1986,M,8/27/2018,couple with children,34.0,30-35 Years,18-Aug,Weak: 35
123,00446E19-2733-11e9-B89C-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,6/6/1992,M,2/3/2019,couple with children,28.0,25-30 Years,19-Feb,Weak: 6
124,005565A9-5F5B-11e9-BD16-0050569857FB,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,9/8/1970,M,4/15/2019,Couple without children,50.0,50-55 Years,19-Apr,Weak: 16
125,005A6720-FE81-11e8-BE60-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,6/4/1991,M,12/13/2018,Couple without children,29.0,25-30 Years,18-Dec,Weak: 50
126,005D6FE5-DFA9-11e8-94FC-0050569953B7,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,6/20/1975,M,11/4/2018,Couple without children,45.0,45-50 Years,18-Nov,Weak: 45
127,006BFD8F-902B-11e8-BC32-00505682069A,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,3/7/1977,M,7/26/2018,couple with children,44.0,40- 45Years,18-Jul,Weak: 30
128,007AB313-E113-11e9-A5E2-0050569973AB,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,1/8/1970,M,9/27/2019,couple with children,51.0,50-55 Years,19-Sep,Weak: 39
129,00809898-A922-11e8-8B86-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,2/12/1983,M,8/26/2018,Couple without children,38.0,35-40 Years,18-Aug,Weak: 35
130,008EB633-A821-11e8-8F9A-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,8/22/1996,M,8/23/2018,couple with children,24.0,20-25 Years,18-Aug,Weak: 34
131,0093D86F-BE15-11e9-B2C2-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,8/4/1996,M,8/14/2019,couple with children,24.0,20-25 Years,19-Aug,Weak: 33
132,00A28D35-203C-11e9-A702-005056981C55,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,1/18/1960,M,1/25/2019,couple with children,61.0,60+ Years,19-Jan,Weak: 4
133,00A48F4F-198C-11e9-BF7E-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,9/18/1973,M,1/17/2019,Couple without children,47.0,45-50 Years,19-Jan,Weak: 3
134,00A8F487-B12C-11e8-AD08-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,11/7/1985,M,9/5/2018,Couple without children,35.0,35-40 Years,18-Sep,Weak: 36
135,00A8F4FD-B12C-11e8-AD08-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,6/8/1992,M,9/5/2018,Couple without children,28.0,25-30 Years,18-Sep,Weak: 36
136,00B30C36-9E26-11e8-8586-0050569D7549,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,6/8/1983,M,8/12/2018,Couple without children,37.0,35-40 Years,18-Aug,Weak: 33
137,00C42191-B4C5-11e8-9238-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,10/8/1973,M,9/10/2018,couple with children,47.0,45-50 Years,18-Sep,Weak: 37
138,00C42305-B4C5-11e8-9238-0050568252F9,Individual,Active,Hyderabad,TELANGANA,500018.0,MALE,8/11/1984,M,9/10/2018,couple with children,36.0,35-40 Years,18-Sep,Weak: 37
